"","V1","V2"
"A0A6C1AED9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5L8D3","Protein Tat (Transactivating regulatory protein)","5"
"Q1KW07","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L4AMW3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3Q8H6B2","Protein Tat (Transactivating regulatory protein)","5"
"H6CUP8","Protein Tat (Transactivating regulatory protein)","5"
"I6QST0","Protein Tat (Transactivating regulatory protein)","5"
"A0A0R6LUB2","Protein Tat (Transactivating regulatory protein)","5"
"A0A140ECT8","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5L089","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T8AWT2","Protein Tat (Transactivating regulatory protein)","5"
"C5HPS8","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KXP0","Protein Tat (Transactivating regulatory protein)","5"
"C4N7C1","Protein Tat (Transactivating regulatory protein)","5"
"M1L4B1","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DHK0","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1E1V6","Protein Tat (Transactivating regulatory protein)","5"
"Q8UT94","Protein Tat (Transactivating regulatory protein)","5"
"A0A162K552","Protein Tat (Transactivating regulatory protein)","5"
"A0A142J5B5","Protein Tat (Transactivating regulatory protein)","5"
"F1B2J4","Protein Tat (Transactivating regulatory protein)","5"
"A0A0H4LW94","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WW29","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5KDE5","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6U8Z6","Protein Tat (Transactivating regulatory protein)","5"
"H6D1U7","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1A0U8","Protein Tat (Transactivating regulatory protein)","5"
"A0A0A6ZKS1","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QRX8","Protein Tat (Transactivating regulatory protein)","5"
"D6NW83","Protein Tat (Transactivating regulatory protein)","5"
"Q460H3","Envelope glycoprotein (Fragment)","4"
"Q71067","Glycoprotein 120 (Fragment)","3"
"W8EG24","Protein Tat (Transactivating regulatory protein)","5"
"M1K8K2","Protein Tat (Transactivating regulatory protein)","5"
"Q900L4","Protein Tat (Transactivating regulatory protein)","5"
"Q00F21","Protein Tat (Transactivating regulatory protein)","4"
"Q5FXX8","Protein Tat (Transactivating regulatory protein)","5"
"D6NWJ4","Protein Tat (Transactivating regulatory protein)","5"
"A4GL81","Protein Tat (Transactivating regulatory protein)","5"
"U6BH75","Protein Tat (Transactivating regulatory protein)","5"
"F2YX68","Protein Tat (Transactivating regulatory protein)","5"
"A0A499SUR1","Protein Tat (Transactivating regulatory protein)","5"
"G1FP41","Protein Tat (Transactivating regulatory protein)","5"
"A0A6B7E453","Protein Tat (Transactivating regulatory protein)","5"
"F5CFW0","Protein Tat (Transactivating regulatory protein)","5"
"U6BFH3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PHH3","Protein Tat (Transactivating regulatory protein)","5"
"A0A5J6SAT6","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F8T2","Protein Tat (Transactivating regulatory protein)","5"
"A1XD88","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QZY7","Protein Tat (Transactivating regulatory protein)","5"
"Q5U972","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QVG8","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7RJB9","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5MZ96","Protein Tat (Transactivating regulatory protein)","5"
"Q9YX52","Protein Tat (Transactivating regulatory protein)","5"
"Q6X6W5","Protein Tat (Transactivating regulatory protein)","5"
"A0A161CV08","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F9S9","Protein Tat (Transactivating regulatory protein)","5"
"A0MT56","Protein Tat (Transactivating regulatory protein)","5"
"M1KU07","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7RKQ0","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7DYW2","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1EGW6","Protein Tat (Transactivating regulatory protein)","5"
"A0A649ULJ7","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QKL8","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5P5C5","Protein Tat (Transactivating regulatory protein)","5"
"V9QK88","Protein Tat (Transactivating regulatory protein)","5"
"Q71054","Glycoprotein 120 (Fragment)","3"
"A8VH29","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5P6I2","Protein Tat (Transactivating regulatory protein)","5"
"H6CZZ3","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F8B2","Protein Tat (Transactivating regulatory protein)","5"
"M4P944","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G8G4Z1","Protein Tat (Transactivating regulatory protein)","5"
"Q71068","Glycoprotein 120 (Fragment)","3"
"Q71059","Glycoprotein 120 (Fragment)","3"
"A0A6C0ZQ81","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F5M9","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PX46","Protein Tat (Transactivating regulatory protein)","5"
"I3RTV8","Protein Tat (Transactivating regulatory protein)","5"
"Q0ECN5","Protein Tat (Transactivating regulatory protein)","5"
"A0A0A6ZLC4","Protein Tat (Transactivating regulatory protein)","5"
"Q5C9Y6","Protein Tat (Transactivating regulatory protein)","5"
"A0A159C9S7","Protein Tat (Transactivating regulatory protein)","5"
"D3U0H4","Protein Tat (Transactivating regulatory protein)","5"
"Q6S864","Protein Tat (Transactivating regulatory protein)","5"
"A0A1B1P5L4","Protein Tat (Transactivating regulatory protein)","5"
"A0A0H4LK07","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F3C2","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M6AMH9","Protein Tat (Transactivating regulatory protein)","5"
"A0A1V0G0M5","Protein Tat (Transactivating regulatory protein)","5"
"D4PD79","Protein Tat (Transactivating regulatory protein)","5"
"Q2QFH4","Protein Tat (Transactivating regulatory protein)","5"
"C5HAL9","Protein Tat (Transactivating regulatory protein)","5"
"Q30IB3","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5KX52","Protein Tat (Transactivating regulatory protein)","5"
"B3VSW6","Protein Tat (Transactivating regulatory protein)","5"
"V9QJ40","Protein Tat (Transactivating regulatory protein)","5"
"A0A1V0CQG5","Protein Tat (Transactivating regulatory protein)","5"
"Q1KWP7","Protein Tat (Transactivating regulatory protein)","5"
"A0A6G5NHS0","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YX04","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5N6K4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F388","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NC92","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D4VH18","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5R0G4","Protein Tat (Transactivating regulatory protein)","5"
"Q6S825","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QVE1","Protein Tat (Transactivating regulatory protein)","5"
"U6BGM7","Protein Tat (Transactivating regulatory protein)","5"
"Q71056","Glycoprotein 120 (Fragment)","3"
"A0A0A0QPP7","Protein Tat (Transactivating regulatory protein)","5"
"G1DNQ9","Protein Tat (Transactivating regulatory protein)","5"
"J7FXB2","Protein Tat (Transactivating regulatory protein)","5"
"Q5XLM7","Protein Tat (Transactivating regulatory protein)","5"
"G1DN45","Protein Tat (Transactivating regulatory protein)","5"
"G1DLJ2","Protein Tat (Transactivating regulatory protein)","5"
"H9ABY8","Protein Tat (Transactivating regulatory protein)","5"
"Q71072","Glycoprotein 120 (Fragment)","3"
"A0A7T7KA87","Envelope (Fragment)","4"
"G1DNM9","Protein Tat (Transactivating regulatory protein)","5"
"G1DJU6","Protein Tat (Transactivating regulatory protein)","5"
"L7Z8G6","Protein Tat (Transactivating regulatory protein)","5"
"H9ABX9","Protein Tat (Transactivating regulatory protein)","5"
"H9ABV2","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L4AMX1","Protein Tat (Transactivating regulatory protein)","5"
"D6NW96","Protein Tat (Transactivating regulatory protein)","5"
"C5HBL2","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1H8D0","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5Q0H8","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DMB9","Protein Tat (Transactivating regulatory protein)","5"
"A0A410JEZ0","Protein Tat (Transactivating regulatory protein)","5"
"Q5FXR6","Protein Tat (Transactivating regulatory protein)","5"
"A0A1U8YL74","Protein Tat (Transactivating regulatory protein)","5"
"E0YHM1","Protein Tat (Transactivating regulatory protein)","5"
"A0A516FMC7","Protein Tat (Transactivating regulatory protein)","5"
"Q5U9B3","Protein Tat (Transactivating regulatory protein)","5"
"Q0MXL0","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5Q190","Protein Tat (Transactivating regulatory protein)","5"
"T1PSN1","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DG22","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DIC4","Protein Tat (Transactivating regulatory protein)","5"
"D6NVU0","Protein Tat (Transactivating regulatory protein)","5"
"I1X6U1","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HBU2","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LG97","Protein Tat (Transactivating regulatory protein)","5"
"Q9QRW5","Protein Tat (Transactivating regulatory protein)","5"
"V9QJ35","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QKV4","Protein Tat (Transactivating regulatory protein)","5"
"Q6X6R4","Protein Tat (Transactivating regulatory protein)","5"
"K4MX85","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YZ22","Protein Tat (Transactivating regulatory protein)","5"
"A0A0E3EEK8","Protein Tat (Transactivating regulatory protein)","5"
"F5CGB8","Protein Tat (Transactivating regulatory protein)","5"
"A0A3Q8H5Y1","Protein Tat (Transactivating regulatory protein)","5"
"A0A346BLX8","Protein Tat (Transactivating regulatory protein)","5"
"A0A6B7EDU8","Protein Tat (Transactivating regulatory protein)","5"
"A0A650FI85","Protein Tat (Transactivating regulatory protein)","5"
"H6D505","Protein Tat (Transactivating regulatory protein)","5"
"A0A6J3WIY7","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DBE7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NVJ6","Protein Tat (Transactivating regulatory protein)","5"
"A0A5J6SC69","Protein Tat (Transactivating regulatory protein)","5"
"Q994K5","Protein Tat (Transactivating regulatory protein)","5"
"Q1HFK9","Protein Tat (Transactivating regulatory protein)","5"
"C9E8Y9","Protein Tat (Transactivating regulatory protein)","5"
"M1KAC5","Protein Tat (Transactivating regulatory protein)","5"
"I3RU19","Protein Tat (Transactivating regulatory protein)","5"
"D6NW13","Protein Tat (Transactivating regulatory protein)","5"
"A9U9K2","Protein Tat (Transactivating regulatory protein)","5"
"Q4U539","Protein Tat (Transactivating regulatory protein)","5"
"Q8AC76","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DFX9","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V970","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7DTF4","Protein Tat (Transactivating regulatory protein)","5"
"Q4QXE2","Protein Tat (Transactivating regulatory protein)","5"
"Q6JNG1","Protein Tat (Transactivating regulatory protein)","5"
"A0A0E3E5Z3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QZT1","Protein Tat (Transactivating regulatory protein)","5"
"Q9YV03","Protein Tat (Transactivating regulatory protein)","5"
"P89817","Protein Tat (Transactivating regulatory protein)","5"
"A0A6B9WEE1","Protein Tat (Transactivating regulatory protein)","5"
"B2DF51","Protein Tat (Transactivating regulatory protein)","5"
"Q69GM9","Protein Tat (Transactivating regulatory protein)","5"
"A0A650FWM0","Protein Tat (Transactivating regulatory protein)","5"
"Q5EEG7","Protein Tat (Transactivating regulatory protein)","5"
"Q6Y8R9","Protein Tat (Transactivating regulatory protein)","5"
"Q8UTM9","Protein Tat (Transactivating regulatory protein)","5"
"D6NWR6","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G2Y4Q3","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F979","Protein Tat (Transactivating regulatory protein)","5"
"D6NWR9","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QR46","Protein Tat (Transactivating regulatory protein)","5"
"Q2I1L1","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C0ZXM6","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4FA42","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5LCW7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7MHW9","Protein Tat (Transactivating regulatory protein)","5"
"Q3T2K2","Protein Tat (Transactivating regulatory protein)","5"
"Q8UTE8","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DGV1","Protein Tat (Transactivating regulatory protein)","5"
"B6D276","Protein Tat (Transactivating regulatory protein)","5"
"Q3S433","Protein Tat (Transactivating regulatory protein)","5"
"C9WDW9","Protein Tat (Transactivating regulatory protein)","5"
"C5HB94","Protein Tat (Transactivating regulatory protein)","5"
"Q2QFC9","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6U2U6","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PDW9","Protein Tat (Transactivating regulatory protein)","5"
"A0A1V0CQ94","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0JUY3","Protein Tat (Transactivating regulatory protein)","5"
"A8T7X7","Protein Tat (Transactivating regulatory protein)","5"
"D6NWH2","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PQH8","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6PIM5","Protein Tat (Transactivating regulatory protein)","5"
"A0A1B1P5M9","Protein Tat (Transactivating regulatory protein)","5"
"V9QJ07","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WVJ0","Protein Tat (Transactivating regulatory protein)","5"
"Q71AX9","Protein Tat (Transactivating regulatory protein)","5"
"A9PZW0","Protein Tat (Transactivating regulatory protein)","5"
"A0A0U4ES44","Protein Tat (Transactivating regulatory protein)","5"
"A0A410SZT7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G2Y468","Protein Tat (Transactivating regulatory protein)","5"
"Q8UTT3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QDP7","Protein Tat (Transactivating regulatory protein)","5"
"D6NWR7","Protein Tat (Transactivating regulatory protein)","5"
"C5HAA2","Protein Tat (Transactivating regulatory protein)","5"
"A0A1B1P573","Protein Tat (Transactivating regulatory protein)","5"
"H6CU39","Protein Tat (Transactivating regulatory protein)","5"
"G9IPU8","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PBW0","Protein Tat (Transactivating regulatory protein)","5"
"Q2NMM8","Protein Tat (Transactivating regulatory protein)","5"
"A0A159CA04","Protein Tat (Transactivating regulatory protein)","5"
"A1DQW5","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YZD4","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V5C4","Protein Tat (Transactivating regulatory protein)","5"
"Q8USZ0","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QS46","Protein Tat (Transactivating regulatory protein)","5"
"A0A411KEC8","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NJF3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PYL5","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KWW6","Protein Tat (Transactivating regulatory protein)","5"
"A0A109VB62","Protein Tat (Transactivating regulatory protein)","5"
"A0A7G5WPN4","Protein Tat (Transactivating regulatory protein)","5"
"T1PUJ2","Protein Tat (Transactivating regulatory protein)","5"
"Q6S839","Protein Tat (Transactivating regulatory protein)","5"
"A0A7R6BUL8","Protein Tat (Transactivating regulatory protein)","5"
"A0A1W6II99","Protein Tat (Transactivating regulatory protein)","5"
"E5RVU6","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PZR7","Protein Tat (Transactivating regulatory protein)","5"
"G9G046","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6SJQ9","Protein Tat (Transactivating regulatory protein)","5"
"A0EXM8","Protein Tat (Transactivating regulatory protein)","5"
"A0A1W6IME9","Protein Tat (Transactivating regulatory protein)","5"
"Q2EFX2","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1J4P8","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4FBE2","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5R070","Protein Tat (Transactivating regulatory protein)","5"
"M4NXV3","Protein Tat (Transactivating regulatory protein)","5"
"I6RGK4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1AG36","Protein Tat (Transactivating regulatory protein)","5"
"K4MWY2","Protein Tat (Transactivating regulatory protein)","5"
"A0A023HIB6","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F626","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G6XLM2","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TFL1","Protein Tat (Transactivating regulatory protein)","5"
"A0A1V0CQC6","Protein Tat (Transactivating regulatory protein)","5"
"Q2EQB0","Protein Tat (Transactivating regulatory protein)","5"
"A0A1U8YIS9","Protein Tat (Transactivating regulatory protein)","5"
"Q9EAK9","Protein Tat (Transactivating regulatory protein)","5"
"T1PST7","Protein Tat (Transactivating regulatory protein)","5"
"B2Z1Y1","Protein Tat (Transactivating regulatory protein)","5"
"Q56TR4","Protein Tat (Transactivating regulatory protein)","5"
"Q5VCU3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PZL8","Protein Tat (Transactivating regulatory protein)","5"
"Q9Q6H3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NN52","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5N296","Protein Tat (Transactivating regulatory protein)","5"
"D7NZP0","Protein Tat (Transactivating regulatory protein)","5"
"Q90D18","Protein Tat (Transactivating regulatory protein)","5"
"Q5G7F4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YI61","Protein Tat (Transactivating regulatory protein)","5"
"A0A411KEF8","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F813","Protein Tat (Transactivating regulatory protein)","5"
"V5W3C9","Protein Tat (Transactivating regulatory protein)","5"
"A0A5J5ZYU3","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7E3X5","Protein Tat (Transactivating regulatory protein)","5"
"A0A6B9L6C4","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DMU4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0JW01","Protein Tat (Transactivating regulatory protein)","5"
"H6CWB2","Protein Tat (Transactivating regulatory protein)","5"
"Q8UTH5","Protein Tat (Transactivating regulatory protein)","5"
"Q1M0G9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K2DQ39","Protein Tat (Transactivating regulatory protein)","5"
"H6D514","Protein Tat (Transactivating regulatory protein)","5"
"A0A0E3E8A2","Protein Tat (Transactivating regulatory protein)","5"
"Q08K21","Protein Tat (Transactivating regulatory protein)","5"
"A0A4Y5LBG0","Protein Tat (Transactivating regulatory protein)","5"
"A0A3Q8GNH1","Protein Tat (Transactivating regulatory protein)","5"
"C7G2M7","Protein Tat (Transactivating regulatory protein)","5"
"A0A1S5RJI8","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6U371","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QQR4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PCP8","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WVF9","Protein Tat (Transactivating regulatory protein)","5"
"H6CXX5","Protein Tat (Transactivating regulatory protein)","5"
"D6NW72","Protein Tat (Transactivating regulatory protein)","5"
"D6NWX4","Protein Tat (Transactivating regulatory protein)","5"
"D2CPR1","Protein Tat (Transactivating regulatory protein)","5"
"M4NVB7","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TCX5","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1E5V1","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TDE1","Protein Tat (Transactivating regulatory protein)","5"
"A0A4P8W494","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F6J6","Protein Tat (Transactivating regulatory protein)","5"
"Q994J6","Protein Tat (Transactivating regulatory protein)","5"
"A9U9N8","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1AEJ7","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F7S1","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C0N216","Protein Tat (Transactivating regulatory protein)","5"
"Q00M07","Protein Tat (Transactivating regulatory protein)","5"
"A9Y659","Protein Tat (Transactivating regulatory protein)","5"
"D2SS19","Protein Tat (Transactivating regulatory protein)","5"
"B6E915","Protein Tat (Transactivating regulatory protein)","5"
"Q2HP38","Protein Tat (Transactivating regulatory protein)","5"
"D5KD47","Protein Tat (Transactivating regulatory protein)","5"
"V5W3N3","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D6EKK6","Protein Tat (Transactivating regulatory protein)","5"
"D6NW53","Protein Tat (Transactivating regulatory protein)","5"
"Q0QL62","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PGT1","Protein Tat (Transactivating regulatory protein)","5"
"A0A0A6ZKU9","Protein Tat (Transactivating regulatory protein)","5"
"Q2NN65","Protein Tat (Transactivating regulatory protein)","5"
"M4P5L3","Protein Tat (Transactivating regulatory protein)","5"
"D6NX49","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QT01","Protein Tat (Transactivating regulatory protein)","5"
"Q50D57","Protein Tat (Transactivating regulatory protein)","5"
"A0A1W6IVY2","Protein Tat (Transactivating regulatory protein)","5"
"Q5SFQ4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G2Y4M4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0JWE6","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QTI0","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QK89","Protein Tat (Transactivating regulatory protein)","5"
"A0A0G3Z7U3","Protein Tat (Transactivating regulatory protein)","5"
"Q2EQB9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0H4D3Z9","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D6ETQ2","Protein Tat (Transactivating regulatory protein)","5"
"A1DQX6","Protein Tat (Transactivating regulatory protein)","5"
"C7DZM4","Protein Tat (Transactivating regulatory protein)","5"
"A0A286QYC5","Protein Tat (Transactivating regulatory protein)","5"
"Q2L7R9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0E3ECP4","Protein Tat (Transactivating regulatory protein)","5"
"A0A0H4D7M2","Protein Tat (Transactivating regulatory protein)","5"
"B2DF33","Protein Tat (Transactivating regulatory protein)","5"
"C5HAF9","Protein Tat (Transactivating regulatory protein)","5"
"A1XD86","Protein Tat (Transactivating regulatory protein)","5"
"A0A4Y5NBB0","Protein Tat (Transactivating regulatory protein)","5"
"Q8ADB4","Protein Tat (Transactivating regulatory protein)","5"
"Q6WS72","Protein Tat (Transactivating regulatory protein)","5"
"G1FP27","Protein Tat (Transactivating regulatory protein)","5"
"A0A7U0MQ30","Protein Tat (Transactivating regulatory protein)","5"
"H6CZ95","Protein Tat (Transactivating regulatory protein)","5"
"Q2NMI4","Protein Tat (Transactivating regulatory protein)","5"
"M4N4L4","Protein Tat (Transactivating regulatory protein)","5"
"D6NWR3","Protein Tat (Transactivating regulatory protein)","5"
"Q596U2","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WVC4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0MJT6","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7E2D4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7TF08","Protein Tat (Transactivating regulatory protein)","5"
"A0A2I6U370","Protein Tat (Transactivating regulatory protein)","5"
"C5HBC4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G8G4L2","Protein Tat (Transactivating regulatory protein)","5"
"D5KDE9","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PKD7","Protein Tat (Transactivating regulatory protein)","5"
"M4P8G4","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D6J8I2","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4FEQ4","Protein Tat (Transactivating regulatory protein)","5"
"Q2L7Y0","Protein Tat (Transactivating regulatory protein)","5"
"D6NX61","Protein Tat (Transactivating regulatory protein)","5"
"H6CYI5","Protein Tat (Transactivating regulatory protein)","5"
"A0A140ED51","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7E4Q6","Protein Tat (Transactivating regulatory protein)","5"
"A0A1B3YUD7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G6XLI7","Protein Tat (Transactivating regulatory protein)","5"
"D2CPU4","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5KVN2","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5N804","Protein Tat (Transactivating regulatory protein)","5"
"A0A4Y5TJP4","Protein Tat (Transactivating regulatory protein)","5"
"H6D4B5","Protein Tat (Transactivating regulatory protein)","5"
"A0A7G7LN49","Protein Tat (Transactivating regulatory protein)","5"
"F2WBB3","Protein Tat (Transactivating regulatory protein)","5"
"Q2VAK6","Protein Tat (Transactivating regulatory protein)","5"
"I6N0L3","Protein Tat (Transactivating regulatory protein)","5"
"D6NVT8","Protein Tat (Transactivating regulatory protein)","5"
"Q8UTD0","Protein Tat (Transactivating regulatory protein)","5"
"Q4QX65","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NN02","Protein Tat (Transactivating regulatory protein)","5"
"A8JZ10","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DGU2","Protein Tat (Transactivating regulatory protein)","5"
"Q9IMJ4","Protein Tat (Transactivating regulatory protein)","5"
"A0A1B2FQ50","Protein Tat (Transactivating regulatory protein)","5"
"A0A346G232","Protein Tat (Transactivating regulatory protein)","5"
"M1KYP2","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HB61","Protein Tat (Transactivating regulatory protein)","5"
"C5HSY6","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QPD7","Protein Tat (Transactivating regulatory protein)","5"
"A0A517EQS4","Protein Tat (Transactivating regulatory protein)","5"
"A0A221SER0","Protein Tat (Transactivating regulatory protein)","5"
"A0A1V0CPU9","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0JSP0","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1E6U0","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NP18","Protein Tat (Transactivating regulatory protein)","5"
"A0A221IXX8","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L5K1G3","Protein Tat (Transactivating regulatory protein)","5"
"M4TET2","Protein Tat (Transactivating regulatory protein)","5"
"A0A221J1W8","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TGV6","Protein Tat (Transactivating regulatory protein)","5"
"P89695","Protein Tat (Transactivating regulatory protein)","5"
"E3T8J0","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1H9J6","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TG78","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QNN9","Protein Tat (Transactivating regulatory protein)","5"
"M4N7R6","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NC20","Protein Tat (Transactivating regulatory protein)","5"
"M4NY63","Protein Tat (Transactivating regulatory protein)","5"
"Q6EFW2","Protein Tat (Transactivating regulatory protein)","5"
